C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C35:1
C4:1
C5:1
C57:1
C58:1
C7:1
C9:1
COUT1:1
COUT2:1
D1:1
D2:1
D3:1
FB1:1
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
IC1:1
J1:1
J2:1
J3:1
J4:1
J5:1
L1:1
LS2:1
POWER_ON_LED1:1
Q1:1
R(PULL)1:1
R(PULL)15:1
R(PULL)16:1
R(PULL)18:1
R(PULL)19:1
R(PULL)2:1
R(PULL)3:1
R(PULL)4:1
R(PULL)9:1
R(T)1:1
R(T)2:1
R7:1
R_PULL_FLASH_1:1
R_PULL_MICROSD_1:1
R_PULL_MICROSD_2:1
R_PULL_MICROSD_3:1
R_PULL_MICROSD_4:1
R_PULL_MICROSD_5:1
R_PULL_MICROSD_6:1
R_SERIES_MICROSD_1:1
R_SERIES_MICROSD_2:1
R_SERIES_MICROSD_3:1
U2:1
U4:1
U5:1
U7:1
U9:1
XTAL1:1
