Designator,Mid X,Mid Y,Rotation,Layer
C(SAM-M10Q)1,170.1,-60.75,180.0,top
C(SAM-M10Q)2,170.1,-63.25,180.0,top
C(SAM-M10Q)3,151.6,-70.975,90.0,top
C(SAM-M10Q)4,154.375,-72.35,270.0,top
C(SAM-M10Q)5,167.775,-50.0,180.0,top
J6,165.174999,-44.975,0.0,top
U3,165.0,-75.95,0.0,top
